1D Steady Open Channel Network Solver																																												
																																												
Two-pass steady 1D workbook: subcritical backwater, supercritical forewater, mixed-flow specific-force selection, and spill routing to drain.																																												
	Parameter	Unit	Value				Fundamental Inputs			Boundary	Segment	End	Type	Value	Resolved Stage	Remarks																												
596	594.996	616160.564	3097395.407	632.265	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2612493	635.4891214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.062860062	21.12687232	1.585420685	2.411620576	636.3278601	636.6242879	0.00070785	0.381995762	55.44294826	0.000909012	1	4.062860062	636.3278601	636.6242879			0	0	0	0	0.381995762	Subcritical	0.00070785
597	595.996	616160.09	3097394.527	632.2645	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2607493	635.4886214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.063641157	21.13093402	1.585539611	2.411157025	636.3281412	636.624455	0.000707507	0.381885629	55.4570444	-0.000919739	1	4.063641157	636.3281412	636.624455			0	0	0	0	0.381885629	Subcritical	0.000707507
598	596.995	616159.616	3097393.647	632.264	5.2	0	Normal	0.023	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2602493	635.4881214	0.004609515	1.109134404	35.85287311	-0.004151974	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3262853	636.622797	0.000708102	0.38207683	55.43257918	0.000741736	1	4.062285346	636.3262853	636.622797			0	0	0	0	0.38207683	Subcritical	0.000708102
599	597.996	616159.141	3097392.766	632.2635	5.2	0	Normal	0.023	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2597493	635.4876214	0.004609515	1.109134404	35.85287311	-0.004161193	0	4.062866397	21.12690527	1.585421649	2.411616816	636.3263664	636.6227933	0.000707847	0.381994869	55.44306257	0.000919479	1	4.062866397	636.3263664	636.6227933			0	0	0	0	0.381994869	Subcritical	0.000707847
600	598.996	616158.667	3097391.886	632.263	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2592493	635.4871214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.063644295	21.13095034	1.585540089	2.411155163	636.3266443	636.6229577	0.000707506	0.381885187	55.45710104	-0.00091969	1	4.063644295	636.3266443	636.6229577			0	0	0	0	0.381885187	Subcritical	0.000707506
601	599.996	616158.193	3097391.005	632.2625	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2587493	635.4866214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3247853	636.621297	0.000708102	0.38207683	55.43257918	0.000728248	1	4.062285346	636.3247853	636.621297			0	0	0	0	0.38207683	Subcritical	0.000708102
602	600.996	616157.719	3097390.125	632.262	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2582493	635.4861214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.062864822	21.12689708	1.58542141	2.41161775	636.3248648	636.6212919	0.000707848	0.381995091	55.44303415	0.000916876	1	4.062864822	636.3248648	636.6212919			0	0	0	0	0.381995091	Subcritical	0.000707848
603	601.995	616157.245	3097389.245	632.2615	5.2	0	Normal	0.023	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2577493	635.4856214	0.004609515	1.109134404	35.85287311	-0.004151974	0	4.063642811	21.13094262	1.585539863	2.411156044	636.3251428	636.6214564	0.000707506	0.381885396	55.45707424	-0.000919712	1	4.063642811	636.3251428	636.6214564			0	0	0	0	0.381885396	Subcritical	0.000707506
604	602.996	616156.77	3097388.364	632.261	5.2	0	Normal	0.023	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2572493	635.4851214	0.004609515	1.109134404	35.85287311	-0.004161193	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3232853	636.619797	0.000708102	0.38207683	55.43257918	0.000747201	1	4.062285346	636.3232853	636.619797			0	0	0	0	0.38207683	Subcritical	0.000708102
605	603.996	616156.296	3097387.484	632.2605	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2567493	635.4846214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.062871072	21.12692958	1.585422361	2.411614041	636.3233711	636.6197973	0.000707845	0.381994209	55.44314692	0.000927212	1	4.062871072	636.3233711	636.6197973			0	0	0	0	0.381994209	Subcritical	0.000707845
606	604.996	616155.822	3097386.603	632.26	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2562493	635.4841214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.063657587	21.13101945	1.585542112	2.411147277	636.3236576	636.6199691	0.0007075	0.381883313	55.45734095	-0.000919486	1	4.063657587	636.3236576	636.6199691			0	0	0	0	0.381883313	Subcritical	0.0007075
607	605.996	616155.348	3097385.723	632.2595	5.2	0	Normal	0.05	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2557493	635.4836214	0.004609515	1.109134404	35.85287311	-0.004211838	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3217853	636.618297	0.000708102	0.38207683	55.43257918	0.000768208	1	4.062285346	636.3217853	636.618297			0	0	0	0	0.38207683	Subcritical	0.000708102
608	606.996	616154.873	3097384.843	632.259	5.2	0	Normal	0.078	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2552493	635.4831214	0.004609515	1.109134404	35.85287311	-0.004269139	0	4.062866397	21.12690527	1.585421649	2.411616816	636.3218664	636.6182933	0.000707847	0.381994869	55.44306257	0.000919479	1	4.062866397	636.3218664	636.6182933			0	0	0	0	0.381994869	Subcritical	0.000707847
609	607.996	616154.399	3097383.962	632.2585	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2547493	635.4826214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.063644295	21.13095034	1.585540089	2.411155163	636.3221443	636.6184577	0.000707506	0.381885187	55.45710104	-0.00091969	1	4.063644295	636.3221443	636.6184577			0	0	0	0	0.381885187	Subcritical	0.000707506
610	608.996	616153.925	3097383.082	632.258	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2542493	635.4821214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3202853	636.616797	0.000708102	0.38207683	55.43257918	0.000772208	1	4.062285346	636.3202853	636.616797			0	0	0	0	0.38207683	Subcritical	0.000708102
611	609.996	616153.451	3097382.201	632.2575	5.2	0	Normal	0.078	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2537493	635.4816214	0.004609515	1.109134404	35.85287311	-0.004269139	0	4.062870853	21.12692844	1.585422328	2.41161417	636.3203709	636.6167971	0.000707845	0.38199424	55.44314298	0.00092684	1	4.062870853	636.3203709	636.6167971			0	0	0	0	0.38199424	Subcritical	0.000707845
612	610.996	616152.976	3097381.321	632.257	5.2	0	Normal	0.05	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2532493	635.4811214	0.004609515	1.109134404	35.85287311	-0.004211838	0	4.063644295	21.13095034	1.585540089	2.411155163	636.3206443	636.6169577	0.000707506	0.381885187	55.45710104	-0.00091969	1	4.063644295	636.3206443	636.6169577			0	0	0	0	0.381885187	Subcritical	0.000707506
613	611.996	616152.502	3097380.441	632.2565	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2527493	635.4806214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3187853	636.615297	0.000708102	0.38207683	55.43257918	0.000752322	1	4.062285346	636.3187853	636.615297			0	0	0	0	0.38207683	Subcritical	0.000708102
614	612.996	616152.028	3097379.56	632.256	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2522493	635.4801214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.062876777	21.12695924	1.58542323	2.411610655	636.3188768	636.6153022	0.000707842	0.381993405	55.44324985	0.000936649	1	4.062876777	636.3188768	636.6153022			0	0	0	0	0.381993405	Subcritical	0.000707842
615	613.995	616151.554	3097378.68	632.2555	5.2	0	Normal	0.027	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2517493	635.4796214	0.004609515	1.109134404	35.85287311	-0.00416016	0	4.063674594	21.13110789	1.585544701	2.411137185	636.3191746	636.6154836	0.000707492	0.381880916	55.45764792	-0.000919224	1	4.063674594	636.3191746	636.6154836			0	0	0	0	0.381880916	Subcritical	0.000707492
616	614.996	616151.08	3097377.799	632.255	5.2	0	Normal	0.078	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2512493	635.4791214	0.004609515	1.109134404	35.85287311	-0.004273748	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3172853	636.613797	0.000708102	0.38207683	55.43257918	0.000754383	1	4.062285346	636.3172853	636.613797			0	0	0	0	0.38207683	Subcritical	0.000708102
617	615.996	616150.605	3097376.919	632.2545	5.2	0	Normal	0.05	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2507493	635.4786214	0.004609515	1.109134404	35.85287311	-0.004211838	0	4.062866411	21.12690533	1.585421651	2.411616808	636.3173664	636.6137933	0.000707847	0.381994867	55.44306281	0.000919501	1	4.062866411	636.3173664	636.6137933			0	0	0	0	0.381994867	Subcritical	0.000707847
618	616.995	616150.131	3097376.039	632.254	5.2	0	Normal	0.027	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2502493	635.4781214	0.004609515	1.109134404	35.85287311	-0.00416016	0	4.063645122	21.13095464	1.585540215	2.411154672	636.3176451	636.6139584	0.000707505	0.38188507	55.45711597	-0.000919677	1	4.063645122	636.3176451	636.6139584			0	0	0	0	0.38188507	Subcritical	0.000707505
619	617.996	616149.657	3097375.158	632.2535	5.2	0	Normal	0.027	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2497493	635.4776214	0.004609515	1.109134404	35.85287311	-0.004169379	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3157853	636.612297	0.000708102	0.38207683	55.43257918	0.000734947	1	4.062285346	636.3157853	636.612297			0	0	0	0	0.38207683	Subcritical	0.000708102
620	618.995	616149.183	3097374.278	632.253	5.2	0	Normal	0.023	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2492493	635.4771214	0.004609515	1.109134404	35.85287311	-0.004151974	0	4.062860412	21.12687414	1.585420738	2.411620368	636.3158604	636.6122882	0.00070785	0.381995713	55.44295457	0.000909579	1	4.062860412	636.3158604	636.6122882			0	0	0	0	0.381995713	Subcritical	0.00070785
621	619.996	616148.708	3097373.397	632.2525	5.2	0	Normal	0.023	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2487493	635.4766214	0.004609515	1.109134404	35.85287311	-0.004161193	0	4.063628692	21.1308692	1.585537713	2.411164421	636.3161287	636.6124444	0.000707512	0.381887386	55.45681942	-0.00091993	1	4.063628692	636.3161287	636.6124444			0	0	0	0	0.381887386	Subcritical	0.000707512
622	620.996	616148.234	3097372.517	632.252	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2482493	635.4761214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3142853	636.610797	0.000708102	0.38207683	55.43257918	0.000760721	1	4.062285346	636.3142853	636.610797			0	0	0	0	0.38207683	Subcritical	0.000708102
623	621.995	616147.76	3097371.637	632.2515	5.2	0	Normal	0.027	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2477493	635.4756214	0.004609515	1.109134404	35.85287311	-0.00416016	0	4.062886922	21.12701199	1.585424775	2.411604633	636.3143869	636.6108108	0.000707838	0.381991974	55.44343292	0.000953407	1	4.062886922	636.3143869	636.6108108			0	0	0	0	0.381991974	Subcritical	0.000707838
624	622.996	616147.286	3097370.756	632.251	5.2	0	Normal	0.078	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2472493	635.4751214	0.004609515	1.109134404	35.85287311	-0.004273748	0	4.063673768	21.13110359	1.585544576	2.411137676	636.3146738	636.6109829	0.000707493	0.381881032	55.457633	-0.000919237	1	4.063673768	636.3146738	636.6109829			0	0	0	0	0.381881032	Subcritical	0.000707493
625	623.996	616146.811	3097369.876	632.2505	5.2	0	Normal	0.078	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2467493	635.4746214	0.004609515	1.109134404	35.85287311	-0.004269139	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3127853	636.609297	0.000708102	0.38207683	55.43257918	0.000738048	1	4.062285346	636.3127853	636.609297			0	0	0	0	0.38207683	Subcritical	0.000708102
626	624.996	616146.337	3097368.995	632.25	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2462493	635.4741214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.062860875	21.12687655	1.585420808	2.411620093	636.3128609	636.6092886	0.000707849	0.381995647	55.44296293	0.000910357	1	4.062860875	636.3128609	636.6092886			0	0	0	0	0.381995647	Subcritical	0.000707849
627	625.996	616145.863	3097368.115	632.2495	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2457493	635.4736214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.063643469	21.13094604	1.585539963	2.411155653	636.3131435	636.609457	0.000707506	0.381885303	55.45708612	-0.000919704	1	4.063643469	636.3131435	636.609457			0	0	0	0	0.381885303	Subcritical	0.000707506
628	626.995	616145.389	3097367.235	632.249	5.2	0	Normal	0.027	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2452493	635.4731214	0.004609515	1.109134404	35.85287311	-0.00416016	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3112853	636.607797	0.000708102	0.38207683	55.43257918	0.000777786	1	4.062285346	636.3112853	636.607797			0	0	0	0	0.38207683	Subcritical	0.000708102
629	627.996	616144.915	3097366.354	632.2485	5.2	0	Normal	0.078	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2447493	635.4726214	0.004609515	1.109134404	35.85287311	-0.004273748	0	4.062876278	21.12695665	1.585423154	2.41161095	636.3113763	636.6078017	0.000707843	0.381993475	55.44324086	0.000935801	1	4.062876278	636.3113763	636.6078017			0	0	0	0	0.381993475	Subcritical	0.000707843
630	628.996	616144.44	3097365.474	632.248	5.2	0	Normal	0.078	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2442493	635.4721214	0.004609515	1.109134404	35.85287311	-0.004269139	0	4.063644295	21.13095034	1.585540089	2.411155163	636.3116443	636.6079577	0.000707506	0.381885187	55.45710104	-0.00091969	1	4.063644295	636.3116443	636.6079577			0	0	0	0	0.381885187	Subcritical	0.000707506
631	629.996	616143.966	3097364.593	632.2475	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2437493	635.4716214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3097853	636.606297	0.000708102	0.38207683	55.43257918	0.000728248	1	4.062285346	636.3097853	636.606297			0	0	0	0	0.38207683	Subcritical	0.000708102
632	630.996	616143.492	3097363.713	632.247	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2432493	635.4711214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.062864822	21.12689708	1.58542141	2.41161775	636.3098648	636.6062919	0.000707848	0.381995091	55.44303415	0.000916876	1	4.062864822	636.3098648	636.6062919			0	0	0	0	0.381995091	Subcritical	0.000707848
633	631.995	616143.018	3097362.833	632.2465	5.2	0	Normal	0.023	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2427493	635.4706214	0.004609515	1.109134404	35.85287311	-0.004151974	0	4.063642811	21.13094262	1.585539863	2.411156044	636.3101428	636.6064564	0.000707506	0.381885396	55.45707424	-0.000919712	1	4.063642811	636.3101428	636.6064564			0	0	0	0	0.381885396	Subcritical	0.000707506
634	632.996	616142.543	3097361.952	632.246	5.2	0	Normal	0.023	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2422493	635.4701214	0.004609515	1.109134404	35.85287311	-0.004161193	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3082853	636.604797	0.000708102	0.38207683	55.43257918	0.000747201	1	4.062285346	636.3082853	636.604797			0	0	0	0	0.38207683	Subcritical	0.000708102
635	633.996	616142.069	3097361.072	632.2455	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2417493	635.4696214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.062871072	21.12692958	1.585422361	2.411614041	636.3083711	636.6047973	0.000707845	0.381994209	55.44314692	0.000927212	1	4.062871072	636.3083711	636.6047973			0	0	0	0	0.381994209	Subcritical	0.000707845
636	634.996	616141.595	3097360.191	632.245	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2412493	635.4691214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.063657587	21.13101945	1.585542112	2.411147277	636.3086576	636.6049691	0.0007075	0.381883313	55.45734095	-0.000919486	1	4.063657587	636.3086576	636.6049691			0	0	0	0	0.381883313	Subcritical	0.0007075
637	635.996	616141.121	3097359.311	632.2445	5.2	0	Normal	0.05	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2407493	635.4686214	0.004609515	1.109134404	35.85287311	-0.004211838	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3067853	636.603297	0.000708102	0.38207683	55.43257918	0.000768208	1	4.062285346	636.3067853	636.603297			0	0	0	0	0.38207683	Subcritical	0.000708102
638	636.996	616140.646	3097358.431	632.244	5.2	0	Normal	0.078	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2402493	635.4681214	0.004609515	1.109134404	35.85287311	-0.004269139	0	4.062866397	21.12690527	1.585421649	2.411616816	636.3068664	636.6032933	0.000707847	0.381994869	55.44306257	0.000919479	1	4.062866397	636.3068664	636.6032933			0	0	0	0	0.381994869	Subcritical	0.000707847
639	637.996	616140.172	3097357.55	632.2435	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2397493	635.4676214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.063644295	21.13095034	1.585540089	2.411155163	636.3071443	636.6034577	0.000707506	0.381885187	55.45710104	-0.00091969	1	4.063644295	636.3071443	636.6034577			0	0	0	0	0.381885187	Subcritical	0.000707506
640	638.996	616139.698	3097356.67	632.243	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2392493	635.4671214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3052853	636.601797	0.000708102	0.38207683	55.43257918	0.00075631	1	4.062285346	636.3052853	636.601797			0	0	0	0	0.38207683	Subcritical	0.000708102
641	639.996	616139.224	3097355.789	632.2425	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2387493	635.4666214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.06288122	21.12698234	1.585423906	2.411608017	636.3053812	636.601806	0.000707841	0.381992778	55.44333002	0.000943987	1	4.06288122	636.3053812	636.601806			0	0	0	0	0.381992778	Subcritical	0.000707841
642	640.996	616138.75	3097354.909	632.242	5.2	0	Normal	0.05	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2382493	635.4661214	0.004609515	1.109134404	35.85287311	-0.004211838	0	4.063673768	21.13110359	1.585544576	2.411137676	636.3056738	636.6019829	0.000707493	0.381881032	55.457633	-0.000919237	1	4.063673768	636.3056738	636.6019829			0	0	0	0	0.381881032	Subcritical	0.000707493
643	641.996	616138.275	3097354.029	632.2415	5.2	0	Normal	0.078	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2377493	635.4656214	0.004609515	1.109134404	35.85287311	-0.004269139	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3037853	636.600297	0.000708102	0.38207683	55.43257918	0.00075231	1	4.062285346	636.3037853	636.600297			0	0	0	0	0.38207683	Subcritical	0.000708102
644	642.996	616137.801	3097353.148	632.241	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2372493	635.4651214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.062876763	21.12695917	1.585423228	2.411610663	636.3038768	636.6003021	0.000707842	0.381993407	55.44324961	0.000936626	1	4.062876763	636.3038768	636.6003021			0	0	0	0	0.381993407	Subcritical	0.000707842
645	643.996	616137.327	3097352.268	632.2405	5.2	0	Normal	0.027	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2367493	635.4646214	0.004609515	1.109134404	35.85287311	-0.00416477	0	4.063673768	21.13110359	1.585544576	2.411137676	636.3041738	636.6004829	0.000707493	0.381881032	55.457633	-0.000919237	1	4.063673768	636.3041738	636.6004829			0	0	0	0	0.381881032	Subcritical	0.000707493
646	644.996	616136.853	3097351.387	632.24	5.2	0	Normal	0.078	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2362493	635.4641214	0.004609515	1.109134404	35.85287311	-0.004269139	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3022853	636.598797	0.000708102	0.38207683	55.43257918	0.000754383	1	4.062285346	636.3022853	636.598797			0	0	0	0	0.38207683	Subcritical	0.000708102
647	645.996	616136.378	3097350.507	632.2395	5.2	0	Normal	0.05	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2357493	635.4636214	0.004609515	1.109134404	35.85287311	-0.004211838	0	4.062866411	21.12690533	1.585421651	2.411616808	636.3023664	636.5987933	0.000707847	0.381994867	55.44306281	0.000919501	1	4.062866411	636.3023664	636.5987933			0	0	0	0	0.381994867	Subcritical	0.000707847
648	646.995	616135.904	3097349.627	632.239	5.2	0	Normal	0.027	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2352493	635.4631214	0.004609515	1.109134404	35.85287311	-0.00416016	0	4.063645122	21.13095464	1.585540215	2.411154672	636.3026451	636.5989584	0.000707505	0.38188507	55.45711597	-0.000919677	1	4.063645122	636.3026451	636.5989584			0	0	0	0	0.38188507	Subcritical	0.000707505
649	647.996	616135.43	3097348.746	632.2385	5.2	0	Normal	0.027	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2347493	635.4626214	0.004609515	1.109134404	35.85287311	-0.004169379	0	4.062285346	21.1238838	1.585333163	2.411961762	636.3007853	636.597297	0.000708102	0.38207683	55.43257918	0.000734947	1	4.062285346	636.3007853	636.597297			0	0	0	0	0.38207683	Subcritical	0.000708102
650	648.995	616134.956	3097347.866	632.238	5.2	0	Normal	0.023	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2342493	635.4621214	0.004609515	1.109134404	35.85287311	-0.004151974	0	4.062860412	21.12687414	1.585420738	2.411620368	636.3008604	636.5972882	0.00070785	0.381995713	55.44295457	0.000909579	1	4.062860412	636.3008604	636.5972882			0	0	0	0	0.381995713	Subcritical	0.00070785
651	649.996	616134.481	3097346.985	632.2375	5.2	0	Normal	0.023	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2337493	635.4616214	0.004609515	1.109134404	35.85287311	-0.004161193	0	4.063628692	21.1308692	1.585537713	2.411164421	636.3011287	636.5974444	0.000707512	0.381887386	55.45681942	-0.00091993	1	4.063628692	636.3011287	636.5974444			0	0	0	0	0.381887386	Subcritical	0.000707512
652	650.996	616134.007	3097346.105	632.237	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2332493	635.4611214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.062285346	21.1238838	1.585333163	2.411961762	636.2992853	636.595797	0.000708102	0.38207683	55.43257918	0.000741555	1	4.062285346	636.2992853	636.595797			0	0	0	0	0.38207683	Subcritical	0.000708102
653	651.995	616133.533	3097345.225	632.2365	5.2	0	Normal	0.027	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2327493	635.4606214	0.004609515	1.109134404	35.85287311	-0.00416016	0	4.062865571	21.12690097	1.585421524	2.411617306	636.2993656	636.5957926	0.000707847	0.381994985	55.44304766	0.000918111	1	4.062865571	636.2993656	636.5957926			0	0	0	0	0.381994985	Subcritical	0.000707847
654	652.996	616133.059	3097344.344	632.236	5.2	0	Normal	0.027	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2322493	635.4601214	0.004609515	1.109134404	35.85287311	-0.004169379	0	4.063641157	21.13093402	1.585539611	2.411157025	636.2996412	636.595955	0.000707507	0.381885629	55.4570444	-0.000919739	1	4.063641157	636.2996412	636.595955			0	0	0	0	0.381885629	Subcritical	0.000707507
655	653.995	616132.585	3097343.464	632.2355	5.2	0	Normal	0.023	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2317493	635.4596214	0.004609515	1.109134404	35.85287311	-0.004151974	0	4.062285346	21.1238838	1.585333163	2.411961762	636.2977853	636.594297	0.000708102	0.38207683	55.43257918	0.000736779	1	4.062285346	636.2977853	636.594297			0	0	0	0	0.38207683	Subcritical	0.000708102
656	654.996	616132.11	3097342.583	632.235	5.2	0	Normal	0.023	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2312493	635.4591214	0.004609515	1.109134404	35.85287311	-0.004161193	0	4.062860875	21.12687655	1.585420808	2.411620093	636.2978609	636.5942886	0.000707849	0.381995647	55.44296293	0.000910357	1	4.062860875	636.2978609	636.5942886			0	0	0	0	0.381995647	Subcritical	0.000707849
657	655.996	616131.636	3097341.703	632.2345	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2307493	635.4586214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.063643469	21.13094604	1.585539963	2.411155653	636.2981435	636.594457	0.000707506	0.381885303	55.45708612	-0.000919704	1	4.063643469	636.2981435	636.594457			0	0	0	0	0.381885303	Subcritical	0.000707506
658	656.995	616131.162	3097340.823	632.234	5.2	0	Normal	0.027	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2302493	635.4581214	0.004609515	1.109134404	35.85287311	-0.00416016	0	4.062285346	21.1238838	1.585333163	2.411961762	636.2962853	636.592797	0.000708102	0.38207683	55.43257918	0.000777786	1	4.062285346	636.2962853	636.592797			0	0	0	0	0.38207683	Subcritical	0.000708102
659	657.996	616130.688	3097339.942	632.2335	5.2	0	Normal	0.078	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2297493	635.4576214	0.004609515	1.109134404	35.85287311	-0.004273748	0	4.062876278	21.12695665	1.585423154	2.41161095	636.2963763	636.5928017	0.000707843	0.381993475	55.44324086	0.000935801	1	4.062876278	636.2963763	636.5928017			0	0	0	0	0.381993475	Subcritical	0.000707843
660	658.996	616130.213	3097339.062	632.233	5.2	0	Normal	0.078	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.2292493	635.4571214	0.004609515	1.109134404	35.85287311	-0.004269139	0	4.063644295	21.13095034	1.585540089	2.411155163	636.2966443	636.5929577	0.000707506	0.381885187	55.45710104	-0.00091969	1	4.063644295	636.2966443	636.5929577			0	0	0	0	0.381885187	Subcritical	0.000707506
